market,theme,asset,n_events,car_window,window_end,car_pct,t,p,pre_event_car_pct,post_event_car_pct,pre_share_of_move,post_only_t,p_fdr
us_recession_2026,growth,VIXY,5,"[-5,+0]",0,1.1187958005091456,0.22093762811714932,0.8359605785791651,0.9911320787867167,-4.596981035740745,0.17736435510048335,-2.8299048626739403,0.9790180246789508
us_recession_2026,growth,VIXY,5,"[-5,+1]",1,-3.0083525355341694,-0.7047919010202052,0.5198130217242207,0.9911320787867167,-4.596981035740745,0.17736435510048335,-2.8299048626739403,0.7078592852411123
us_recession_2026,growth,VIXY,5,"[-5,+3]",3,-2.321039827383455,-0.557276766667991,0.6070488987216449,0.9911320787867167,-4.596981035740745,0.17736435510048335,-2.8299048626739403,0.9109882118944618
us_recession_2026,growth,VIXY,5,"[-5,+5]",5,-3.6058489569540284,-0.776217469087675,0.4809608711247262,0.9911320787867167,-4.596981035740745,0.17736435510048335,-2.8299048626739403,0.8928103527660355
korea_trade_deal_2027,trade,XLI,3,"[-5,-1]",-1,0.835311943304515,1.8196604768941849,0.21042116919949727,0.835311943304515,1.235571614058592,0.40336016978575684,1.5148468737861953,0.8428511448266904
korea_trade_deal_2027,trade,XLI,3,"[-5,+0]",0,0.728276379023753,0.8342561134841863,0.4919098191033324,0.835311943304515,1.235571614058592,0.40336016978575684,1.5148468737861953,0.8086894378611362
korea_trade_deal_2027,trade,XLI,3,"[-5,+1]",1,1.3481746077747534,1.0697418106851284,0.39672726272884873,0.835311943304515,1.235571614058592,0.40336016978575684,1.5148468737861953,0.7078592852411123
korea_trade_deal_2027,trade,XLI,3,"[-5,+3]",3,1.8546546773118493,1.767126031902036,0.21924170976502477,0.835311943304515,1.235571614058592,0.40336016978575684,1.5148468737861953,0.6886257319701431
korea_trade_deal_2027,trade,XLI,3,"[-5,+5]",5,2.070883557363107,1.6258718677789077,0.24548914282834966,0.835311943304515,1.235571614058592,0.40336016978575684,1.5148468737861953,0.8928103527660355
korea_trade_deal_2027,trade,SPY,3,"[-5,-1]",-1,-0.5626171796984203,-1.3862520217775087,0.29998829221842915,-0.5626171796984203,0.42728954195594554,0.5683537321154414,0.6049638722646918,0.8428511448266904
korea_trade_deal_2027,trade,SPY,3,"[-5,+0]",0,-0.7415386063579633,-14.659454057458719,0.004621105501818823,-0.5626171796984203,0.42728954195594554,0.5683537321154414,0.6049638722646918,0.07855879353091999
korea_trade_deal_2027,trade,SPY,3,"[-5,+1]",1,-0.26930200517325736,-2.372335873792906,0.14104289858785624,-0.5626171796984203,0.42728954195594554,0.5683537321154414,0.6049638722646918,0.599432318998389
korea_trade_deal_2027,trade,SPY,3,"[-5,+3]",3,-0.6043773258623614,-2.402344071877966,0.13823357086822208,-0.5626171796984203,0.42728954195594554,0.5683537321154414,0.6049638722646918,0.6886257319701431
korea_trade_deal_2027,trade,SPY,3,"[-5,+5]",5,-0.13532763774247464,-0.25971865876139605,0.8193719278869764,-0.5626171796984203,0.42728954195594554,0.5683537321154414,0.6049638722646918,0.8928103527660355
