market,theme,asset,lag,n,p_prob_leads_market,p_market_leads_prob,p_prob_leads_market_fdr,p_market_leads_prob_fdr
us_recession_2026,growth,VIXY,2,202,0.19296246675269077,0.6501224612764251,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,VIXY,3,202,0.362185960918611,0.7994987263895819,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,VIXY,4,202,0.4779297402020136,0.7823771983316838,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,VIXY,5,202,0.2540135101519885,0.7825383785637819,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,XLI,1,186,0.2134749466632086,0.577782160888349,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,XLI,2,186,0.3909771714551743,0.656179109169375,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,XLI,3,186,0.15473925117836662,0.5656934498894994,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,XLI,4,186,0.24714614449611375,0.6310939789199621,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,XLI,5,186,0.3404267829839042,0.7999699613009668,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,SPY,1,186,0.27091667929765667,0.9500638593527484,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,SPY,2,186,0.10960402829468865,0.9042962350684509,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,SPY,3,186,0.09206095104692706,0.6809534215702273,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,SPY,4,186,0.14807447299240134,0.44519281270996136,0.9786128357930445,0.9914427486398933
korea_trade_deal_2027,trade,SPY,5,186,0.21978789945831986,0.4681599201898794,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,TLT,1,194,0.502091166759132,0.06215821490604278,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,TLT,2,194,0.4771388874631619,0.19608220214667013,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,TLT,3,194,0.6284085659484693,0.2150612615939755,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,TLT,4,194,0.7890834238798894,0.32018812466354335,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,TLT,5,194,0.8501279664033707,0.4192072283546396,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,SPY,1,194,0.45821238000669035,0.7051071558457719,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,SPY,2,194,0.6881817424054234,0.07692369629447164,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,SPY,3,194,0.46167744667115473,0.1354320897059102,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,SPY,4,194,0.37986797975156633,0.2696840639564194,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,SPY,5,194,0.44945198951166054,0.36246289606072046,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,VIXY,1,194,0.19754527893452334,0.9449545655150895,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,VIXY,2,194,0.4028612773102581,0.09167294249348186,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,VIXY,3,194,0.2991266987972928,0.2961418312727502,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,VIXY,4,194,0.4245812544723986,0.32091756960868795,0.9786128357930445,0.9914427486398933
us_debt_default_2027,sovereign_debt,VIXY,5,194,0.4577192967463052,0.46360443147575936,0.9786128357930445,0.9914427486398933
